ACT Symbol,Security Name,Exchange
A,"Agilent Technologies, Inc. Common Stock",N
AA,Alcoa Corporation Common Stock ,N
AAC,"AAC Holdings, Inc. Common Stock",N
AAN,"Aaron's, Inc. Common Stock",N
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N
AAT,"American Assets Trust, Inc. Common Stock",N
AAV,Advantage Oil & Gas Ltd  Ordinary Shares,N
AB,AllianceBernstein Holding L.P.  Units,N
ABB,ABB Ltd Common Stock,N
ABBV,AbbVie Inc. Common Stock,N
ABC,AmerisourceBergen Corporation Common Stock,N
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N
ABG,Asbury Automotive Group Inc Common Stock,N
ABM,ABM Industries Incorporated Common Stock,N
ABR,Arbor Realty Trust Common Stock,N
ABR$A,Arbor Realty Trust Preferred Series A,N
ABR$B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,N
ABR$C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,N
ABRN,Arbor Realty Trust 7.375% Senior Notes due 2021,N
ABT,Abbott Laboratories Common Stock,N
ABX,Barrick Gold Corporation Common Stock,N
AC,"Associated Capital Group, Inc. Common Stock",N
ACC,American Campus Communities Inc Common Stock,N
ACCO,Acco Brands Corporation Common Stock,N
ACH,Aluminum Corporation of China Limited American Depositary Shares,N
ACM,AECOM Common Stock,N
ACN,Accenture plc Class A Ordinary Shares (Ireland),N
ACP,Avenue Income Credit Strategies Fund Common Shares,N
ACRE,Ares Commercial Real Estate Corporation Common Stock,N
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N
ADC,Agree Realty Corporation Common Stock,N
ADM,Archer-Daniels-Midland Company Common Stock,N
ADNT,Adient plc Ordinary Shares ,N
ADS,Alliance Data Systems Corporation Common Stock,N
ADSW,"Advanced Disposal Services, Inc. Common Stock",N
ADX,Adams Diversified Equity Fund Inc.,N
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),N
AED,AEGON N.V. Perp. Cap. Securities (Netherlands),N
AEE,Ameren Corporation Common Stock,N
AEG,AEGON N.V. Common Stock,N
AEH,AEGON N.V. Perp. Cap Secs.,N
AEK,Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042,N
AEL,American Equity Investment Life Holding Company Common Stock,N
AEM,Agnico Eagle Mines Limited Common Stock,N
AEO,"American Eagle Outfitters, Inc. Common Stock",N
AEP,"American Electric Power Company, Inc. Common Stock",N
AER,Aercap Holdings N.V. Ordinary Shares,N
AES,The AES Corporation Common Stock,N
AET,Aetna Inc. Common Stock,N
AEUA,Anadarko Petroleum Corporation 7.50% Tangible Equity Units,N
AF,Astoria Financial Corporation Common Stock,N
AF$C,Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%,N
